date,description,category,amount
2026-01-02,Woolworths Food,Groceries,R563.54
2026-01-03,Shell Garage Sandton,Fuel,"R2,300.42"
2026-01-05,Electricity - City of Joburg,Utilities,"R1,000.00"
2026-01-07,Spar Rosebank,Groceries,"R2,345.02"
2026-01-09,Steers Melrose Arch,Eating Out,R150.00
2026-01-11,Water - Rand Water,Utilities,R506.55
2026-01-14,Shoprite Soweto,Groceries,R890.05
2026-01-17,ENGEN Petrol Station,Fuel,R560.42
2026-01-20,Food Lovers Market Fourways,Groceries,R200.32
2026-01-23,Woolworths Clothing,Clothing,R340.00
2026-01-25,Nando's Sandton,Eating Out,R185.00
2026-01-27,Checkers Hyper,Groceries,"R1,120.80"
2026-01-29,Dis-Chem Pharmacy,Health,R430.00
2026-01-30,Netflix Subscription,Entertainment,R199.00
2026-01-31,Gym membership - Virgin Active,Health,R699.00
